item_no,ante_noun,ante_gender,coref_gender,ante_gender_gramm,phrase1,phrase2,phrase2_masked,phrase2_cut,phrase1_masked
1,Kardinäle,m,m,m,Die Kardinäle stiegen in den Bus.,Angesichts der Sonne trugen mehrere der Männer einen Hut.,Angesichts der Sonne trugen mehrere der [MASK] einen Hut.,Angesichts der Sonne trugen mehrere der,Die [MASK] stiegen in den Bus.
2,Zimmermädchen,f,f,f,Die Zimmermädchen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der Frauen eine Mütze.,Aufgrund des schlechten Wetters trugen die meisten der [MASK] eine Mütze.,Aufgrund des schlechten Wetters trugen die meisten der,Die [MASK] durchquerten die Halle.
3,Brüder,m,m,m,Die Brüder stiegen in den Reisebus.,Bei schönem Wetter trugen einige der Männer Shorts.,Bei schönem Wetter trugen einige der [MASK] Shorts.,Bei schönem Wetter trugen einige der,Die [MASK] stiegen in den Reisebus.
4,Etagenjungen,m,m,m,Die Etagenjungen gingen durch die Stadt.,Nach einem sehr langen Tag schienen die meisten der Männer gehen zu wollen.,Nach einem sehr langen Tag schienen die meisten der [MASK] gehen zu wollen.,Nach einem sehr langen Tag schienen die meisten der,Die [MASK] gingen durch die Stadt.
5,Großmütter,f,m,f,Die Großmütter warteten auf einer Bank.,Wegen des wolkigen Wetters trug einer der Männer einen Regenmantel.,Wegen des wolkigen Wetters trug einer der [MASK] einen Regenmantel.,Wegen des wolkigen Wetters trug einer der,Die [MASK] warteten auf einer Bank.
6,Großväter,m,f,m,Die Großväter gingen über den Platz.,Aufgrund der Hitze hatten mehrere der Frauen keine Jacke.,Aufgrund der Hitze hatten mehrere der [MASK] keine Jacke.,Aufgrund der Hitze hatten mehrere der,Die [MASK] gingen über den Platz.
7,Geschäftsmänner,m,m,m,Die Geschäftsleute waren schon bei der Arbeit.,"Man konnte sehen, dass mehrere der Männer wirklich ruhig waren.","Man konnte sehen, dass mehrere der [MASK] wirklich ruhig waren.","Man konnte sehen, dass mehrere der",Die Geschäftsleute waren schon bei der Arbeit.
8,Au-pair-Mädchen,f,f,f,Die Au-pair-Mädchen gingen zum Supermarkt.,"Da schlechtes Wetter vorhergesagt wurde, hatte eine der Frauen einen Regenschirm.","Da schlechtes Wetter vorhergesagt wurde, hatte eine der [MASK] einen Regenschirm.","Da schlechtes Wetter vorhergesagt wurde, hatte eine der",Die [MASK] gingen zum Supermarkt.
9,Omas,f,m,f,Die Omas warteten in der Nähe der Schranke.,Nach einiger Zeit schienen die meisten der Männer gehen zu wollen.,Nach einiger Zeit schienen die meisten der [MASK] gehen zu wollen.,Nach einiger Zeit schienen die meisten der,Die [MASK] warteten in der Nähe der Schranke.
10,Mütter,f,f,f,Die Mütter gingen eilig hinaus.,"Man konnte sehen, dass die meisten der Frauen wirklich traurig waren.","Man konnte sehen, dass die meisten der [MASK] wirklich traurig waren.","Man konnte sehen, dass die meisten der",Die [MASK] gingen eilig hinaus.
