item_no,role_noun,role_noun_EN,role_noun_DE,Phrase1,Phrase2,Phrase1_EN,Phrase2_EN,Phrase1_DE,Phrase2_DE,Continuation,continuation_EN,exp_answer,déterminant,filler_type
1,cardinaux,cardinals,Kardinäle,Les cardinaux montaient dans le bus.,"Etant donné le soleil, plusieurs hommes portaient un chapeau.",The cardinals were getting on the bus.,"Given the sun, several of the men were wearing hats.",Die Kardinäle stiegen in den Bus.,Angesichts der Sonne trugen mehrere der Männer einen Hut.,h,men,yes,plusieurs,lexical_gender
2,Femme de chambre,chambermaids,Zimmermädchen,Les femmes de chambres traversaient le hall.,"Etant donné le mauvais temps, la majorité des femmes portaient un bonnet.",The chambermaids were crossing the hall.,"Given the bad weather, most of the women were wearing hats.",Die Zimmermädchen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der Frauen eine Mütze.,f,women,yes,majorité,lexical_gender
3,Frères,brothers,Brüder,Les frères montaient dans le car.,"Etant donné le beau temps, quelques hommes portaient un short.",The brothers were getting on the bus.,"Given the good weather, a few of the men were wearing shorts.",Die Brüder stiegen in den Reisebus.,Bei schönem Wetter trugen einige der Männer Shorts.,h,men,yes,plusieurs,lexical_gender
4,Garçons d'étage,bellboys,Etagenjungen,Les garçons d'étage marchaient dans la ville.,"Après une très longue journée, la plupart des hommes semblaient vouloir partir.",The bellboys were walking in the city.,"After a very long day, most of the men seemed to want to leave.",Die Etagenjungen gingen durch die Stadt.,Nach einem sehr langen Tag schienen die meisten der Männer gehen zu wollen.,h,men,yes,plupart,lexical_gender
5,Grand-mères,grandmothers,Großmütter,Les grand-mères attendaient sur un banc.,"A cause du temps nuageux, un des hommes portait un imperméable.",The grandmothers were waiting on a bench.,"Because of the cloudy weather, one of the men was wearing a raincoat.",Die Großmütter warteten auf einer Bank.,Wegen des wolkigen Wetters trug einer der Männer einen Regenmantel.,h,men,non,un,lexical_gender
6,Grand-pères,grandfathers,Großväter,Les grand-pères marchaient à travers la place.,"A cause de la chaleur, plusieurs femmes n'avaient pas de veste.",The grandfathers were walking across the square.,"Because of the heat, several of the women were not wearing jackets.",Die Großväter gingen über den Platz.,Aufgrund der Hitze hatten mehrere der Frauen keine Jacke.,f,women,non,plusieurs,lexical_gender
7,Hommes d'affaire,businessmen,Geschäftsmänner,Les hommes d'affaire étaient déjà au travail.,On pouvait voir que plusieurs hommes étaient vraiment calmes.,The businessmen were already at work.,It was evident that several of the men were really calm.,Die Geschäftsleute waren schon bei der Arbeit.,"Man konnte sehen, dass mehrere der Männer wirklich ruhig waren.",h,men,yes,quelques,lexical_gender
8,Jeunes filles au-pair,au pair girls,Au-pair-Mädchen,Les jeunes filles au-pair allaient au supermarché.,"Du mauvais temps étant prévu, une des femmes avait un parapluie.",The au pair girls were going to the supermarket.,"With bad weather expected, one of the women had an umbrella.",Die Au-pair-Mädchen gingen zum Supermarkt.,"Da schlechtes Wetter vorhergesagt wurde, hatte eine der Frauen einen Regenschirm.",f,women,yes,un,lexical_gender
9,Mamies,grannies,Omas,Les mamies attendaient près de la barrière.,"Après un certain temps, la plupart des hommes semblaient vouloir s'en aller.",The grannies were waiting near the barrier.,"After a while, most of the men seemed to want to leave.",Die Omas warteten in der Nähe der Schranke.,Nach einiger Zeit schienen die meisten der Männer gehen zu wollen.,h,men,non,plupart,lexical_gender
10,Mères,mothers,Mütter,Les mères sortaient avec précipitation.,On pouvait voir que la plupart des femmes étaient vraiment triste.,The mothers were leaving hastily.,It was evident that most of the women were really sad.,Die Mütter gingen eilig hinaus.,"Man konnte sehen, dass die meisten der Frauen wirklich traurig waren.",f,women,yes,plupart,lexical_gender
