neutral,feminine,masculine,number
slave,bondswoman,bondsman,SG
sex worker,callgirl,callboy,SG
newspaper delivery person,papergirl,paperboy,SG
fencer,swordswoman,swordsman,SG
caveperson,cavewoman,caveman,SG
explorer,frontierswoman,frontiersman,SG
spokesperson,spokeswoman,spokesman,SG
tribesperson,tribeswoman,tribesman,SG
statesperson,stateswoman,statesman,SG
athlete,sportswoman,sportsman,SG
fan,fangirl,fanboy,SG
police officer,policewoman,policeman,SG
member of the board,selectwoman,selectman,SG
service member,servicewoman,serviceman,SG
noble person,noblewoman,nobleman,SG
reporter,newswoman,newsman,SG
bartender,bargirl,barman,SG
player,playgirl,playboy,SG
sharpshooter,markswoman,marksman,SG
cow herder,cowgirl,cowboy,SG
washer,washerwoman,washerman,SG
farm worker,farmgirl,farmboy,SG
emergency medical technician,ambulancewoman,ambulanceman,SG
maniac,madwoman,madman,SG
equestrian,horsewoman,horseman,SG
assassin,hitwoman,hitman,SG
anchorperson,anchorwoman,anchorman,SG
refined person,gentlewoman,gentleman,SG
businessperson,businesswoman,businessman,SG
frontperson,frontwoman,frontman,SG
foreperson,forewoman,foreman,SG
fisher,fisherwoman,fisherman,SG
congressperson,congresswoman,congressman,SG
ball person,ballgirl,ballboy,SG
workpersonship,workwomanship,workmanship,SG
childishly,girlishly,boyishly,SG
partner,girlfriend,boyfriend,SG
