phrase1,phrase2_cut,ante_noun,ante_gender,phrases_cut,next_5
The grandparents were waiting on a bench.,"Because of the cloudy weather, one of the",grandparents,n,"The grandparents were waiting on a bench. Because of the cloudy weather, one of the"," grandparents said, ""It"
The grandmothers were waiting on a bench.,"Because of the cloudy weather, one of the",grandmothers,f,"The grandmothers were waiting on a bench. Because of the cloudy weather, one of the"," grandmothers said,"
The grandfathers were waiting on a bench.,"Because of the cloudy weather, one of the",grandfathers,m,"The grandfathers were waiting on a bench. Because of the cloudy weather, one of the"," grandfathers said,"
The monarchs were waiting on a bench.,"Because of the cloudy weather, one of the",monarchs,n,"The monarchs were waiting on a bench. Because of the cloudy weather, one of the", monarchs was not happy
The queens were waiting on a bench.,"Because of the cloudy weather, one of the",queens,f,"The queens were waiting on a bench. Because of the cloudy weather, one of the", queens was wearing a hat
The kings were waiting on a bench.,"Because of the cloudy weather, one of the",kings,m,"The kings were waiting on a bench. Because of the cloudy weather, one of the", kings was wearing a rain
The siblings were waiting on a bench.,"Because of the cloudy weather, one of the",siblings,n,"The siblings were waiting on a bench. Because of the cloudy weather, one of the", siblings felt cold and curled
The sisters were waiting on a bench.,"Because of the cloudy weather, one of the",sisters,f,"The sisters were waiting on a bench. Because of the cloudy weather, one of the", sisters had to use a
The brothers were waiting on a bench.,"Because of the cloudy weather, one of the",brothers,m,"The brothers were waiting on a bench. Because of the cloudy weather, one of the", brothers was afraid that it
The parents-in-law were waiting on a bench.,"Because of the cloudy weather, one of the",parents-in-law,n,"The parents-in-law were waiting on a bench. Because of the cloudy weather, one of the"," parents-in-law said,"
The mothers-in-law were waiting on a bench.,"Because of the cloudy weather, one of the",mothers-in-law,f,"The mothers-in-law were waiting on a bench. Because of the cloudy weather, one of the", mothers-in-law suggested that
The fathers-in-law were waiting on a bench.,"Because of the cloudy weather, one of the",fathers-in-law,m,"The fathers-in-law were waiting on a bench. Because of the cloudy weather, one of the", fathers-in-law fell asleep
The parents were waiting on a bench.,"Because of the cloudy weather, one of the",parents,n,"The parents were waiting on a bench. Because of the cloudy weather, one of the", parents was wearing a rain
The mothers were waiting on a bench.,"Because of the cloudy weather, one of the",mothers,f,"The mothers were waiting on a bench. Because of the cloudy weather, one of the", mothers was wearing a rain
The fathers were waiting on a bench.,"Because of the cloudy weather, one of the",fathers,m,"The fathers were waiting on a bench. Because of the cloudy weather, one of the", fathers suggested that they should
The children were waiting on a bench.,"Because of the cloudy weather, one of the",children,n,"The children were waiting on a bench. Because of the cloudy weather, one of the", children was waiting for the
The daughters were waiting on a bench.,"Because of the cloudy weather, one of the",daughters,f,"The daughters were waiting on a bench. Because of the cloudy weather, one of the", daughters was wearing a hat
The sons were waiting on a bench.,"Because of the cloudy weather, one of the",sons,m,"The sons were waiting on a bench. Because of the cloudy weather, one of the", sons was wearing a rain
The spouses were waiting on a bench.,"Because of the cloudy weather, one of the",spouses,n,"The spouses were waiting on a bench. Because of the cloudy weather, one of the", spouses was wearing a hat
The wives were waiting on a bench.,"Because of the cloudy weather, one of the",wives,f,"The wives were waiting on a bench. Because of the cloudy weather, one of the", wives was wearing a hat
The husbands were waiting on a bench.,"Because of the cloudy weather, one of the",husbands,m,"The husbands were waiting on a bench. Because of the cloudy weather, one of the", husbands decided to buy a
The grandparents were waiting near the barrier.,"After a while, most of the",grandparents,n,"The grandparents were waiting near the barrier. After a while, most of the", passengers got off the train
The grandmothers were waiting near the barrier.,"After a while, most of the",grandmothers,f,"The grandmothers were waiting near the barrier. After a while, most of the"," children came back, but"
The grandfathers were waiting near the barrier.,"After a while, most of the",grandfathers,m,"The grandfathers were waiting near the barrier. After a while, most of the"," people left, and only"
The monarchs were waiting near the barrier.,"After a while, most of the",monarchs,n,"The monarchs were waiting near the barrier. After a while, most of the", people waiting with them began
The queens were waiting near the barrier.,"After a while, most of the",queens,f,"The queens were waiting near the barrier. After a while, most of the", queens left. The remaining
The kings were waiting near the barrier.,"After a while, most of the",kings,m,"The kings were waiting near the barrier. After a while, most of the", kings were waiting near the
The siblings were waiting near the barrier.,"After a while, most of the",siblings,n,"The siblings were waiting near the barrier. After a while, most of the", people around them started to
The sisters were waiting near the barrier.,"After a while, most of the",sisters,f,"The sisters were waiting near the barrier. After a while, most of the", passengers got off the train
The brothers were waiting near the barrier.,"After a while, most of the",brothers,m,"The brothers were waiting near the barrier. After a while, most of the", people in the crowd began
The parents-in-law were waiting near the barrier.,"After a while, most of the",parents-in-law,n,"The parents-in-law were waiting near the barrier. After a while, most of the"," people had left, and"
The mothers-in-law were waiting near the barrier.,"After a while, most of the",mothers-in-law,f,"The mothers-in-law were waiting near the barrier. After a while, most of the"," mothers-in-law left,"
The fathers-in-law were waiting near the barrier.,"After a while, most of the",fathers-in-law,m,"The fathers-in-law were waiting near the barrier. After a while, most of the"," fathers-in-law left,"
The parents were waiting near the barrier.,"After a while, most of the",parents,n,"The parents were waiting near the barrier. After a while, most of the", children came back from the
The mothers were waiting near the barrier.,"After a while, most of the",mothers,f,"The mothers were waiting near the barrier. After a while, most of the", mothers were called to the
The fathers were waiting near the barrier.,"After a while, most of the",fathers,m,"The fathers were waiting near the barrier. After a while, most of the", children came back from the
The children were waiting near the barrier.,"After a while, most of the",children,n,"The children were waiting near the barrier. After a while, most of the", children were taken away by
The daughters were waiting near the barrier.,"After a while, most of the",daughters,f,"The daughters were waiting near the barrier. After a while, most of the", other people had left.
The sons were waiting near the barrier.,"After a while, most of the",sons,m,"The sons were waiting near the barrier. After a while, most of the", other people had left.
The spouses were waiting near the barrier.,"After a while, most of the",spouses,n,"The spouses were waiting near the barrier. After a while, most of the", people around them started to
The wives were waiting near the barrier.,"After a while, most of the",wives,f,"The wives were waiting near the barrier. After a while, most of the"," men came back, but"
The husbands were waiting near the barrier.,"After a while, most of the",husbands,m,"The husbands were waiting near the barrier. After a while, most of the", women came out of the
The grandparents were waiting on the steps.,It was obvious that some of the,grandparents,n,The grandparents were waiting on the steps. It was obvious that some of the, children were afraid of them
The grandmothers were waiting on the steps.,It was obvious that some of the,grandmothers,f,The grandmothers were waiting on the steps. It was obvious that some of the, children had been crying.
The grandfathers were waiting on the steps.,It was obvious that some of the,grandfathers,m,The grandfathers were waiting on the steps. It was obvious that some of the, elders had been waiting for
The monarchs were waiting on the steps.,It was obvious that some of the,monarchs,n,The monarchs were waiting on the steps. It was obvious that some of the, monarchs had been waiting
The queens were waiting on the steps.,It was obvious that some of the,queens,f,The queens were waiting on the steps. It was obvious that some of the, queens were not happy with
The kings were waiting on the steps.,It was obvious that some of the,kings,m,The kings were waiting on the steps. It was obvious that some of the, kings were more impatient than
The siblings were waiting on the steps.,It was obvious that some of the,siblings,n,The siblings were waiting on the steps. It was obvious that some of the, children had been there for
The sisters were waiting on the steps.,It was obvious that some of the,sisters,f,The sisters were waiting on the steps. It was obvious that some of the, girls had been crying.
The brothers were waiting on the steps.,It was obvious that some of the,brothers,m,The brothers were waiting on the steps. It was obvious that some of the, steps were worn by the
The parents-in-law were waiting on the steps.,It was obvious that some of the,parents-in-law,n,The parents-in-law were waiting on the steps. It was obvious that some of the, guests had already arrived.
The mothers-in-law were waiting on the steps.,It was obvious that some of the,mothers-in-law,f,The mothers-in-law were waiting on the steps. It was obvious that some of the, women had been waiting for
The fathers-in-law were waiting on the steps.,It was obvious that some of the,fathers-in-law,m,The fathers-in-law were waiting on the steps. It was obvious that some of the, men had been drinking.
The parents were waiting on the steps.,It was obvious that some of the,parents,n,The parents were waiting on the steps. It was obvious that some of the," children were very excited,"
The mothers were waiting on the steps.,It was obvious that some of the,mothers,f,The mothers were waiting on the steps. It was obvious that some of the, children had been crying.
The fathers were waiting on the steps.,It was obvious that some of the,fathers,m,The fathers were waiting on the steps. It was obvious that some of the, boys had been crying.
The children were waiting on the steps.,It was obvious that some of the,children,n,The children were waiting on the steps. It was obvious that some of the, children had been waiting for
The daughters were waiting on the steps.,It was obvious that some of the,daughters,f,The daughters were waiting on the steps. It was obvious that some of the, girls were not happy with
The sons were waiting on the steps.,It was obvious that some of the,sons,m,The sons were waiting on the steps. It was obvious that some of the, boys had been crying.
The spouses were waiting on the steps.,It was obvious that some of the,spouses,n,The spouses were waiting on the steps. It was obvious that some of the, men had been drinking.
The wives were waiting on the steps.,It was obvious that some of the,wives,f,The wives were waiting on the steps. It was obvious that some of the, men had been drinking.
The husbands were waiting on the steps.,It was obvious that some of the,husbands,m,The husbands were waiting on the steps. It was obvious that some of the, women had been crying.
