item_no,ante_noun,ante_gender,sentences,continuation,gender_a1,ref_a1,gender_a2,ref_a2,gender_a3,ref_a3,gender_mv,ref_mv
1,grandparents,n,"The grandparents were waiting on a bench. Because of the cloudy weather, one of the"," grandparents said, ""It",n,yes,n,yes,n,yes,n,yes
2,grandmothers,f,"The grandmothers were waiting on a bench. Because of the cloudy weather, one of the"," grandmothers said,",f,yes,f,yes,f,yes,f,yes
3,grandfathers,m,"The grandfathers were waiting on a bench. Because of the cloudy weather, one of the"," grandfathers said,",m,yes,m,yes,m,yes,m,yes
4,monarchs,n,"The monarchs were waiting on a bench. Because of the cloudy weather, one of the",monarchs was not happy,n,yes,n,yes,n,yes,n,yes
5,queens,f,"The queens were waiting on a bench. Because of the cloudy weather, one of the",queens was wearing a hat,f,yes,f,yes,f,yes,f,yes
6,kings,m,"The kings were waiting on a bench. Because of the cloudy weather, one of the",kings was wearing a rain,m,yes,m,yes,m,yes,m,yes
7,siblings,n,"The siblings were waiting on a bench. Because of the cloudy weather, one of the",siblings felt cold and curled,n,yes,n,yes,n,yes,n,yes
8,sisters,f,"The sisters were waiting on a bench. Because of the cloudy weather, one of the",sisters had to use a,f,yes,f,yes,f,yes,f,yes
9,brothers,m,"The brothers were waiting on a bench. Because of the cloudy weather, one of the",brothers was afraid that it,m,yes,m,yes,m,yes,m,yes
10,parents-in-law,n,"The parents-in-law were waiting on a bench. Because of the cloudy weather, one of the"," parents-in-law said,",n,yes,n,yes,n,yes,n,yes
11,mothers-in-law,f,"The mothers-in-law were waiting on a bench. Because of the cloudy weather, one of the",mothers-in-law suggested that,f,yes,f,yes,f,yes,f,yes
12,fathers-in-law,m,"The fathers-in-law were waiting on a bench. Because of the cloudy weather, one of the",fathers-in-law fell asleep,m,yes,m,yes,m,yes,m,yes
13,parents,n,"The parents were waiting on a bench. Because of the cloudy weather, one of the",parents was wearing a rain,n,yes,n,yes,n,yes,n,yes
14,mothers,f,"The mothers were waiting on a bench. Because of the cloudy weather, one of the",mothers was wearing a rain,f,yes,f,yes,f,yes,f,yes
15,fathers,m,"The fathers were waiting on a bench. Because of the cloudy weather, one of the",fathers suggested that they should,m,yes,m,yes,m,yes,m,yes
16,children,n,"The children were waiting on a bench. Because of the cloudy weather, one of the",children was waiting for the,n,yes,n,yes,n,yes,n,yes
17,daughters,f,"The daughters were waiting on a bench. Because of the cloudy weather, one of the",daughters was wearing a hat,f,yes,f,yes,f,yes,f,yes
18,sons,m,"The sons were waiting on a bench. Because of the cloudy weather, one of the",sons was wearing a rain,m,yes,m,yes,m,yes,m,yes
19,spouses,n,"The spouses were waiting on a bench. Because of the cloudy weather, one of the",spouses was wearing a hat,n,yes,n,yes,n,yes,n,yes
20,wives,f,"The wives were waiting on a bench. Because of the cloudy weather, one of the",wives was wearing a hat,f,yes,f,yes,f,yes,f,yes
21,husbands,m,"The husbands were waiting on a bench. Because of the cloudy weather, one of the",husbands decided to buy a,m,yes,m,yes,m,yes,m,yes
22,grandparents,n,"The grandparents were waiting near the barrier. After a while, most of the",passengers got off the train,n,no,n,no,n,no,n,no
23,grandmothers,f,"The grandmothers were waiting near the barrier. After a while, most of the"," children came back, but",f,no,n,no,n,no,n,no
24,grandfathers,m,"The grandfathers were waiting near the barrier. After a while, most of the"," people left, and only",m,no,n,UNSURE,n,no,n,no
25,monarchs,n,"The monarchs were waiting near the barrier. After a while, most of the",people waiting with them began,n,no,n,yes,n,no,n,no
26,queens,f,"The queens were waiting near the barrier. After a while, most of the",queens left. The remaining,f,yes,f,yes,f,yes,f,yes
27,kings,m,"The kings were waiting near the barrier. After a while, most of the",kings were waiting near the,m,yes,m,yes,m,yes,m,yes
28,siblings,n,"The siblings were waiting near the barrier. After a while, most of the",people around them started to,n,no,n,yes,n,no,n,no
29,sisters,f,"The sisters were waiting near the barrier. After a while, most of the",passengers got off the train,f,no,n,no,n,no,n,no
30,brothers,m,"The brothers were waiting near the barrier. After a while, most of the",people in the crowd began,m,no,n,no,n,no,n,no
31,parents-in-law,n,"The parents-in-law were waiting near the barrier. After a while, most of the"," people had left, and",n,no,n,no,n,no,n,no
32,mothers-in-law,f,"The mothers-in-law were waiting near the barrier. After a while, most of the"," mothers-in-law left,",f,yes,f,yes,f,yes,f,yes
33,fathers-in-law,m,"The fathers-in-law were waiting near the barrier. After a while, most of the"," fathers-in-law left,",m,yes,m,yes,m,yes,m,yes
34,parents,n,"The parents were waiting near the barrier. After a while, most of the",children came back from the,n,no,n,no,n,no,n,no
35,mothers,f,"The mothers were waiting near the barrier. After a while, most of the",mothers were called to the,f,yes,f,yes,f,yes,f,yes
36,fathers,m,"The fathers were waiting near the barrier. After a while, most of the",children came back from the,m,no,n,no,n,no,n,no
37,children,n,"The children were waiting near the barrier. After a while, most of the",children were taken away by,n,yes,n,yes,n,yes,n,yes
38,daughters,f,"The daughters were waiting near the barrier. After a while, most of the",other people had left.,f,no,n,no,n,no,n,no
39,sons,m,"The sons were waiting near the barrier. After a while, most of the",other people had left.,m,no,n,no,n,no,n,no
40,spouses,n,"The spouses were waiting near the barrier. After a while, most of the",people around them started to,n,no,n,no,n,no,n,no
41,wives,f,"The wives were waiting near the barrier. After a while, most of the"," men came back, but",f,no,m,no,m,no,m,no
42,husbands,m,"The husbands were waiting near the barrier. After a while, most of the",women came out of the,m,no,f,no,f,no,f,no
43,grandparents,n,The grandparents were waiting on the steps. It was obvious that some of the,children were afraid of them,n,no,n,UNSURE,n,no,n,no
44,grandmothers,f,The grandmothers were waiting on the steps. It was obvious that some of the,children had been crying.,f,no,n,no,n,no,n,no
45,grandfathers,m,The grandfathers were waiting on the steps. It was obvious that some of the,elders had been waiting for,m,no,n,yes,n,no,n,no
46,monarchs,n,The monarchs were waiting on the steps. It was obvious that some of the,monarchs had been waiting,n,yes,n,yes,n,yes,n,yes
47,queens,f,The queens were waiting on the steps. It was obvious that some of the,queens were not happy with,f,yes,f,yes,f,yes,f,yes
48,kings,m,The kings were waiting on the steps. It was obvious that some of the,kings were more impatient than,m,yes,m,yes,m,yes,m,yes
49,siblings,n,The siblings were waiting on the steps. It was obvious that some of the,children had been there for,n,no,n,yes,n,no,n,no
50,sisters,f,The sisters were waiting on the steps. It was obvious that some of the,girls had been crying.,f,yes,f,yes,f,yes,f,yes
51,brothers,m,The brothers were waiting on the steps. It was obvious that some of the,steps were worn by the,m,no,NULL,yes,NULL,no,NULL,no
52,parents-in-law,n,The parents-in-law were waiting on the steps. It was obvious that some of the,guests had already arrived.,n,no,n,no,n,no,n,no
53,mothers-in-law,f,The mothers-in-law were waiting on the steps. It was obvious that some of the,women had been waiting for,f,yes,f,yes,f,yes,f,yes
54,fathers-in-law,m,The fathers-in-law were waiting on the steps. It was obvious that some of the,men had been drinking.,m,yes,m,yes,m,yes,m,yes
55,parents,n,The parents were waiting on the steps. It was obvious that some of the," children were very excited,",n,no,n,no,n,no,n,no
56,mothers,f,The mothers were waiting on the steps. It was obvious that some of the,children had been crying.,f,no,n,no,n,no,n,no
57,fathers,m,The fathers were waiting on the steps. It was obvious that some of the,boys had been crying.,m,no,m,no,m,no,m,no
