item_no,sentences,continuation,mentioned gender,refers back?
1,"The grandparents were waiting on a bench. Because of the cloudy weather, one of the"," grandparents said, ""It",n,yes
2,"The grandmothers were waiting on a bench. Because of the cloudy weather, one of the"," grandmothers said,",f,yes
3,"The grandfathers were waiting on a bench. Because of the cloudy weather, one of the"," grandfathers said,",m,yes
4,"The monarchs were waiting on a bench. Because of the cloudy weather, one of the",monarchs was not happy,n,yes
5,"The queens were waiting on a bench. Because of the cloudy weather, one of the",queens was wearing a hat,f,yes
6,"The kings were waiting on a bench. Because of the cloudy weather, one of the",kings was wearing a rain,m,yes
7,"The siblings were waiting on a bench. Because of the cloudy weather, one of the",siblings felt cold and curled,n,yes
8,"The sisters were waiting on a bench. Because of the cloudy weather, one of the",sisters had to use a,f,yes
9,"The brothers were waiting on a bench. Because of the cloudy weather, one of the",brothers was afraid that it,m,yes
10,"The parents-in-law were waiting on a bench. Because of the cloudy weather, one of the"," parents-in-law said,",n,yes
11,"The mothers-in-law were waiting on a bench. Because of the cloudy weather, one of the",mothers-in-law suggested that,f,yes
12,"The fathers-in-law were waiting on a bench. Because of the cloudy weather, one of the",fathers-in-law fell asleep,m,yes
13,"The parents were waiting on a bench. Because of the cloudy weather, one of the",parents was wearing a rain,n,yes
14,"The mothers were waiting on a bench. Because of the cloudy weather, one of the",mothers was wearing a rain,f,yes
15,"The fathers were waiting on a bench. Because of the cloudy weather, one of the",fathers suggested that they should,m,yes
16,"The children were waiting on a bench. Because of the cloudy weather, one of the",children was waiting for the,n,yes
17,"The daughters were waiting on a bench. Because of the cloudy weather, one of the",daughters was wearing a hat,f,yes
18,"The sons were waiting on a bench. Because of the cloudy weather, one of the",sons was wearing a rain,m,yes
19,"The spouses were waiting on a bench. Because of the cloudy weather, one of the",spouses was wearing a hat,n,yes
20,"The wives were waiting on a bench. Because of the cloudy weather, one of the",wives was wearing a hat,f,yes
21,"The husbands were waiting on a bench. Because of the cloudy weather, one of the",husbands decided to buy a,m,yes
22,"The grandparents were waiting near the barrier. After a while, most of the",passengers got off the train,n,no
23,"The grandmothers were waiting near the barrier. After a while, most of the"," children came back, but",n,no
24,"The grandfathers were waiting near the barrier. After a while, most of the"," people left, and only",n,no
25,"The monarchs were waiting near the barrier. After a while, most of the",people waiting with them began,n,no
26,"The queens were waiting near the barrier. After a while, most of the",queens left. The remaining,f,yes
27,"The kings were waiting near the barrier. After a while, most of the",kings were waiting near the,m,yes
28,"The siblings were waiting near the barrier. After a while, most of the",people around them started to,n,no
29,"The sisters were waiting near the barrier. After a while, most of the",passengers got off the train,n,no
30,"The brothers were waiting near the barrier. After a while, most of the",people in the crowd began,n,no
31,"The parents-in-law were waiting near the barrier. After a while, most of the"," people had left, and",n,no
32,"The mothers-in-law were waiting near the barrier. After a while, most of the"," mothers-in-law left,",f,yes
33,"The fathers-in-law were waiting near the barrier. After a while, most of the"," fathers-in-law left,",m,yes
34,"The parents were waiting near the barrier. After a while, most of the",children came back from the,n,no
35,"The mothers were waiting near the barrier. After a while, most of the",mothers were called to the,f,yes
36,"The fathers were waiting near the barrier. After a while, most of the",children came back from the,n,no
37,"The children were waiting near the barrier. After a while, most of the",children were taken away by,n,yes
38,"The daughters were waiting near the barrier. After a while, most of the",other people had left.,n,no
39,"The sons were waiting near the barrier. After a while, most of the",other people had left.,n,no
40,"The spouses were waiting near the barrier. After a while, most of the",people around them started to,n,no
41,"The wives were waiting near the barrier. After a while, most of the"," men came back, but",m,no
42,"The husbands were waiting near the barrier. After a while, most of the",women came out of the,f,no
